"sciname","trend"
"Leucoraja ocellata","Decreasing"
"Raja eglanteria","Unknown"
"Alopias superciliosus","Decreasing"
"Pteroplatytrygon violacea","Unknown"
"Mobula birostris","Decreasing"
"Squalus acanthias","Decreasing"
"Alosa aestivalis","Decreasing"
"Alosa mediocris","Increasing"
"Alosa pseudoharengus","Unknown"
"Alosa sapidissima","Increasing"
"Anchoa hepsetus","Unknown"
"Anchoa lyolepis","Unknown"
"Anchoa mitchilli","Stable"
"Brevoortia tyrannus","Increasing"
"Clupea harengus","Increasing"
"Engraulis eurystole","Unknown"
"Etrumeus sadina","Unknown"
"Harengula jaguana","Unknown"
"Opisthonema oglinum","Unknown"
"Sardinella aurita","Unknown"
"Hypsoblennius hentz","Unknown"
"Astrangia poculata","Unknown"
"Coryphaena equiselis","Stable"
"Coryphaena hippurus","Stable"
"Cyprinodon variegatus","Stable"
"Fundulus heteroclitus","Stable"
"Fundulus majalis","Unknown"
"Lucania parva","Stable"
"Echeneis naucrates","Stable"
"Echeneis neucratoides","Unknown"
"Phtheirichthys lineatus","Stable"
"Remora albescens","Unknown"
"Remora australis","Stable"
"Remora brachyptera","Stable"
"Remora osteochir","Stable"
"Remora remora","Stable"
"Chaetodipterus faber","Unknown"
"Epigonus denticulatus","Unknown"
"Epigonus pandionis","Unknown"
"Enchelyopus cimbrius","Unknown"
"Coelorinchus caelorhincus","Unknown"
"Coryphaenoides armatus","Unknown"
"Coryphaenoides guentheri","Unknown"
"Coryphaenoides leptolepis","Unknown"
"Coryphaenoides mediterraneus","Unknown"
"Coryphaenoides rupestris","Unknown"
"Hymenocephalus italicus","Unknown"
"Malacocephalus occidentalis","Unknown"
"Nezumia aequalis","Unknown"
"Nezumia sclerorhynchus","Unknown"
"Melanonus zugmayeri","Unknown"
"Merluccius albidus","Unknown"
"Merluccius bilinearis","Unknown"
"Antimora rostrata","Unknown"
"Gadella imberbis","Unknown"
"Physiculus fulvus","Unknown"
"Urophycis regia","Unknown"
"Fistularia petimba","Unknown"
"Fistularia tabacaria","Unknown"
"Gasterosteus wheatlandi","Stable"
"Diplospinus multistriatus","Unknown"
"Gempylus serpens","Stable"
"Lepidocybium flavobrunneum","Unknown"
"Nealotus tripes","Stable"
"Nesiarchus nasutus","Stable"
"Promethichthys prometheus","Stable"
"Ruvettus pretiosus","Stable"
"Gobiesox strumosus","Unknown"
"Gobiosoma bosc","Unknown"
"Gobiosoma ginsburgi","Unknown"
"Orthopristis chrysoptera","Unknown"
"Kyphosus sectatrix","Stable"
"Lampris guttatus","Unknown"
"Regalecus glesne","Unknown"
"Stylephorus chordatus","Unknown"
"Desmodema polystictum","Unknown"
"Zu cristatus","Unknown"
"Homarus americanus","Stable"
"Stereomastis sculpta","Stable"
"Nephropsis aculeata","Unknown"
"Panulirus argus","Decreasing"
"Stereomastis nana","Stable"
"Cardus crucifer","Unknown"
"Polycheles typhlops","Stable"
"Fowlerichthys radiosus","Unknown"
"Histrio histrio","Stable"
"Caulophryne jordani","Unknown"
"Caulophryne polynema","Unknown"
"Centrophryne spinulosa","Unknown"
"Ceratias holboelli","Unknown"
"Ceratias uranoscopus","Unknown"
"Cryptopsaras couesii","Unknown"
"Bufoceratias wedli","Unknown"
"Diceratias pileatus","Unknown"
"Gigantactis gibbsi","Unknown"
"Gigantactis ios","Unknown"
"Gigantactis longicirra","Unknown"
"Gigantactis vanhoeffeni","Unknown"
"Himantolophus albinares","Unknown"
"Himantolophus brevirostris","Unknown"
"Himantolophus groenlandicus","Unknown"
"Himantolophus rostratus","Unknown"
"Haplophryne mollis","Unknown"
"Linophryne pennibarbata","Unknown"
"Melanocetus johnsonii","Unknown"
"Neoceratias spinifer","Unknown"
"Dibranchus atlanticus","Unknown"
"Dibranchus tremendus","Unknown"
"Chaenophryne draco","Unknown"
"Chaenophryne longiceps","Unknown"
"Chaenophryne ramifera","Unknown"
"Dolopichthys allector","Unknown"
"Dolopichthys danae","Unknown"
"Dolopichthys longicornis","Unknown"
"Dolopichthys pullatus","Unknown"
"Leptacanthichthys gracilispinis","Unknown"
"Lophodolos acanthognathus","Unknown"
"Microlophichthys microlophus","Unknown"
"Oneirodes eschrichtii","Unknown"
"Oneirodes macrosteus","Unknown"
"Pentherichthys atratus","Unknown"
"Phyllorhinichthys balushkini","Unknown"
"Spiniphryne gladisfenae","Unknown"
"Lutjanus cyanopterus","Decreasing"
"Lutjanus griseus","Unknown"
"Lutjanus jocu","Decreasing"
"Ocyurus chrysurus","Decreasing"
"Luvarus imperialis","Unknown"
"Lopholatilus chamaeleonticeps","Decreasing"
"Phocoena phocoena","Unknown"
"Stenella clymene","Unknown"
"Lagenorhynchus albirostris","Unknown"
"Mesoplodon europaeus","Unknown"
"Globicephala melas","Unknown"
"Eubalaena glacialis","Decreasing"
"Ziphius cavirostris","Unknown"
"Phoca vitulina","Unknown"
"Stenella coeruleoalba","Unknown"
"Balaenoptera musculus","Increasing"
"Balaenoptera edeni","Unknown"
"Mesoplodon mirus","Unknown"
"Orcinus orca","Unknown"
"Halichoerus grypus","Increasing"
"Megaptera novaeangliae","Increasing"
"Lagenorhynchus acutus","Unknown"
"Cystophora cristata","Unknown"
"Tursiops truncatus","Unknown"
"Physeter macrocephalus","Unknown"
"Mesoplodon densirostris","Unknown"
"Kogia breviceps","Unknown"
"Kogia sima","Unknown"
"Pagophilus groenlandicus","Increasing"
"Balaenoptera acutorostrata","Unknown"
"Balaenoptera physalus","Increasing"
"Grampus griseus","Unknown"
"Stenella attenuata","Unknown"
"Stenella frontalis","Unknown"
"Stenella longirostris","Unknown"
"Globicephala macrorhynchus","Unknown"
"Delphinus delphis","Unknown"
"Balaenoptera borealis","Increasing"
"Mesoplodon bidens","Unknown"
"Hyperoodon ampullatus","Unknown"
"Morone saxatilis","Unknown"
"Mugil cephalus","Stable"
"Mugil curema","Unknown"
"Mullus auratus","Unknown"
"Pseudupeneus maculatus","Unknown"
"Benthosema glaciale","Stable"
"Benthosema suborbitale","Stable"
"Bolinichthys indicus","Stable"
"Bolinichthys photothorax","Stable"
"Bolinichthys supralateralis","Unknown"
"Centrobranchus nigroocellatus","Stable"
"Ceratoscopelus maderensis","Unknown"
"Ceratoscopelus warmingii","Stable"
"Diaphus bertelseni","Unknown"
"Diaphus brachycephalus","Unknown"
"Diaphus dumerilii","Stable"
"Diaphus effulgens","Stable"
"Diaphus fragilis","Unknown"
"Diaphus garmani","Unknown"
"Diaphus lucidus","Unknown"
"Diaphus luetkeni","Unknown"
"Diaphus metopoclampus","Unknown"
"Diaphus mollis","Stable"
"Diaphus perspicillatus","Stable"
"Diaphus problematicus","Unknown"
"Diaphus rafinesquii","Unknown"
"Diaphus splendidus","Unknown"
"Diaphus subtilis","Unknown"
"Diaphus taaningi","Stable"
"Diaphus termophilus","Stable"
"Diogenichthys atlanticus","Stable"
"Electrona risso","Unknown"
"Gonichthys cocco","Stable"
"Hygophum benoiti","Stable"
"Hygophum hygomii","Unknown"
"Hygophum macrochir","Unknown"
"Hygophum reinhardtii","Unknown"
"Hygophum taaningi","Unknown"
"Lampadena anomala","Unknown"
"Lampadena chavesi","Unknown"
"Lampadena luminosa","Unknown"
"Lampadena speculigera","Unknown"
"Lampanyctus alatus","Unknown"
"Lampanyctus crocodilus","Unknown"
"Lampanyctus festivus","Unknown"
"Lampanyctus intricarius","Unknown"
"Lampanyctus macdonaldi","Unknown"
"Lampanyctus nobilis","Unknown"
"Lampanyctus photonotus","Unknown"
"Lampanyctus pusillus","Unknown"
"Lepidophanes gaussi","Stable"
"Lepidophanes guentheri","Stable"
"Lobianchia dofleini","Stable"
"Lobianchia gemellarii","Unknown"
"Loweina interrupta","Unknown"
"Loweina rara","Unknown"
"Myctophum affine","Stable"
"Myctophum asperum","Stable"
"Myctophum nitidulum","Stable"
"Myctophum obtusirostre","Unknown"
"Myctophum punctatum","Stable"
"Myctophum selenops","Unknown"
"Nannobrachium atrum","Unknown"
"Nannobrachium cuprarium","Unknown"
"Nannobrachium lineatum","Unknown"
"Notolychnus valdiviae","Stable"
"Notoscopelus bolini","Unknown"
"Notoscopelus caudispinosus","Unknown"
"Notoscopelus resplendens","Stable"
"Symbolophorus rufinus","Unknown"
"Symbolophorus veranyi","Unknown"
"Taaningichthys bathyphilus","Unknown"
"Taaningichthys minimus","Unknown"
"Cubiceps capensis","Unknown"
"Cubiceps pauciradiatus","Unknown"
"Nomeus gronovii","Unknown"
"Psenes cyanophrys","Unknown"
"Psenes pellucidus","Unknown"
"Aldrovandia affinis","Unknown"
"Aldrovandia gracilis","Unknown"
"Aldrovandia phalacra","Unknown"
"Halosauropsis macrochir","Unknown"
"Halosaurus guentheri","Unknown"
"Notacanthus chemnitzii","Unknown"
"Polyacanthonotus challengeri","Unknown"
"Polyacanthonotus merretti","Unknown"
"Abyssobrotula galatheae","Unknown"
"Bassozetus compressus","Unknown"
"Bassozetus levistomatus","Unknown"
"Bassozetus normalis","Unknown"
"Bathyonus laticeps","Unknown"
"Benthocometes robustus","Unknown"
"Dicrolene introniger","Unknown"
"Lamprogrammus brunswigi","Unknown"
"Lamprogrammus shcherbachevi","Unknown"
"Lepophidium brevibarbe","Unknown"
"Lepophidium profundorum","Unknown"
"Ophidion marginatum","Stable"
"Penopus microphthalmus","Unknown"
"Porogadus miles","Unknown"
"Spectrunculus grandis","Unknown"
"Parabrotula plagiophthalma","Unknown"
"Alepocephalus agassizii","Unknown"
"Alepocephalus australis","Stable"
"Alepocephalus bairdii","Unknown"
"Alepocephalus productus","Unknown"
"Bajacalifornia megalops","Unknown"
"Bathyprion danae","Unknown"
"Bathytroctes macrolepis","Unknown"
"Bathytroctes michaelsarsi","Unknown"
"Bathytroctes microlepis","Unknown"
"Einara edentula","Unknown"
"Einara macrolepis","Unknown"
"Narcetes stomias","Stable"
"Photostylus pycnopterus","Unknown"
"Rouleina attrita","Unknown"
"Rouleina maderensis","Unknown"
"Talismania antillarum","Unknown"
"Xenodermichthys copei","Unknown"
"Argentina striata","Unknown"
"Bathylagichthys greyae","Unknown"
"Dolicholagus longirostris","Unknown"
"Melanolagus bericoides","Unknown"
"Nansenia longicauda","Unknown"
"Nansenia megalopa","Unknown"
"Dolichopteroides binocularis","Unknown"
"Opisthoproctus soleatus","Unknown"
"Rhynchohyalus natalensis","Unknown"
"Maulisia mauli","Unknown"
"Maulisia microlepis","Unknown"
"Mentodus facilis","Unknown"
"Normichthys operosus","Decreasing"
"Bembrops gobioides","Unknown"
"Polyprion americanus","Unknown"
"Pomatomus saltatrix","Decreasing"
"Priacanthus arenatus","Unknown"
"Cookeolus japonicus","Unknown"
"Sphoeroides maculatus","Decreasing"
"Sphoeroides pachygaster","Unknown"
"Lagocephalus laevigatus","Unknown"
"Lagocephalus lagocephalus","Unknown"
"Sphoeroides spengleri","Unknown"
"Sphoeroides testudineus","Unknown"
"Rachycentron canadum","Unknown"
"Eretmochelys imbricata","Decreasing"
"Dermochelys coriacea","Decreasing"
"Chelonia mydas","Decreasing"
"Lepidochelys olivacea","Decreasing"
"Caretta caretta","Decreasing"
"Cyema atrum","Unknown"
"Eurypharynx pelecanoides","Unknown"
"Bairdiella chrysoura","Unknown"
"Cynoscion nebulosus","Increasing"
"Larimus fasciatus","Stable"
"Leiostomus xanthurus","Unknown"
"Menticirrhus americanus","Unknown"
"Menticirrhus saxatilis","Stable"
"Micropogonias undulatus","Unknown"
"Pogonias cromis","Decreasing"
"Scombrolabrax heterolepis","Decreasing"
"Pagrus pagrus","Unknown"
"Archosargus probatocephalus","Stable"
"Lagodon rhomboides","Stable"
"Calamus bajonado","Unknown"
"Archosargus rhomboidalis","Unknown"
"Stenotomus chrysops","Decreasing"
"Molpadiodemas atlanticus","Unknown"
"Paelopatides gigantea","Unknown"
"Mesothuria lactea","Unknown"
"Zostera marina","Decreasing"
"Anthias nicholsi","Unknown"
"Baldwinella aureorubens","Unknown"
"Centropristis striata","Stable"
"Sphyraena barracuda","Unknown"
"Sphyraena borealis","Unknown"
"Sphyraena guachancho","Unknown"
"Argyropelecus aculeatus","Unknown"
"Argyropelecus affinis","Unknown"
"Argyropelecus gigas","Unknown"
"Argyropelecus hemigymnus","Stable"
"Argyropelecus sladeni","Unknown"
"Aristostomias lunifer","Unknown"
"Aristostomias polydactylus","Unknown"
"Aristostomias tittmanni","Unknown"
"Astronesthes gemmifer","Unknown"
"Astronesthes leucopogon","Unknown"
"Astronesthes niger","Unknown"
"Astronesthes richardsoni","Unknown"
"Bathophilus brevis","Unknown"
"Bathophilus digitatus","Unknown"
"Bathophilus metallicus","Unknown"
"Bathophilus vaillanti","Unknown"
"Bonapartia pedaliota","Unknown"
"Borostomias antarcticus","Unknown"
"Chauliodus danae","Unknown"
"Chauliodus sloani","Unknown"
"Cyclothone acclinidens","Stable"
"Cyclothone alba","Stable"
"Cyclothone braueri","Stable"
"Cyclothone microdon","Stable"
"Cyclothone pallida","Stable"
"Cyclothone pseudopallida","Stable"
"Echiostoma barbatum","Unknown"
"Eustomias bibulbosus","Unknown"
"Eustomias bigelowi","Unknown"
"Eustomias macrurus","Unknown"
"Eustomias obscurus","Unknown"
"Eustomias polyaster","Unknown"
"Eustomias satterleei","Unknown"
"Eustomias simplex","Unknown"
"Flagellostomias boureei","Unknown"
"Peprilus paru","Unknown"
"Acanthurus chirurgus","Stable"
"Acanthurus coeruleus","Stable"
"Lontra canadensis","Stable"
"Tetragonurus atlanticus","Unknown"
"Tetragonurus cuvieri","Stable"
"Thunnus alalunga","Decreasing"
"Thunnus albacares","Decreasing"
"Thunnus obesus","Decreasing"
"Thunnus thynnus","Decreasing"
"Makaira nigricans","Decreasing"
"Xiphias gladius","Decreasing"
"Sarda sarda","Stable"
"Thunnus atlanticus","Stable"
"Scomberomorus cavalla","Stable"
"Scomberomorus maculatus","Unknown"
"Euthynnus alletteratus","Stable"
"Scomber scombrus","Decreasing"
"Kajikia albida","Decreasing"
"Scomberomorus regalis","Unknown"
"Tetrapturus georgii","Unknown"
"Istiophorus platypterus","Unknown"
"Auxis thazard","Stable"
"Auxis rochei","Stable"
"Tetrapturus pfluegeri","Stable"
"Katsuwonus pelamis","Stable"
"Astroscopus guttatus","Unknown"
"Tautoga onitis","Decreasing"
"Tautogolabrus adspersus","Unknown"
"Sparisoma rubripinne","Unknown"
"Melanostigma atlanticum","Unknown"
"Pachycara bulbiceps","Unknown"
"Charadrius semipalmatus","Stable"
"Fulica americana","Decreasing"
"Charadrius vociferus","Decreasing"
"Chlidonias niger","Decreasing"
"Chordeiles minor","Decreasing"
"Clangula hyemalis","Decreasing"
"Hydrocoloeus minutus","Increasing"
"Egretta thula","Increasing"
"Gavia stellata","Decreasing"
"Nycticorax nycticorax","Decreasing"
"Falco columbarius","Stable"
"Falco peregrinus","Stable"
"Gavia immer","Stable"
"Histrionicus histrionicus","Increasing"
"Hydrobates castro","Decreasing"
"Hydrobates leucorhous","Decreasing"
"Ixobrychus exilis","Stable"
"Ammospiza maritima","Decreasing"
"Ammospiza nelsoni","Stable"
"Mareca americana","Stable"
"Mareca penelope","Decreasing"
"Larus atricilla","Increasing"
"Larus delawarensis","Increasing"
"Larus fuscus","Increasing"
"Larus glaucoides","Stable"
"Larus marinus","Unknown"
"Larus philadelphia","Increasing"
"Larus ridibundus","Unknown"
"Larus smithsonianus","Decreasing"
"Limnodromus griseus","Decreasing"
"Oceanites oceanicus","Stable"
"Limosa haemastica","Decreasing"
"Lophodytes cucullatus","Increasing"
"Melanitta perspicillata","Decreasing"
"Mergus merganser","Unknown"
"Mergus serrator","Stable"
"Mycteria americana","Decreasing"
"Phalacrocorax carbo","Increasing"
"Numenius phaeopus","Decreasing"
"Nyctanassa violacea","Stable"
"Onychoprion anaethetus","Unknown"
"Pandion haliaetus","Increasing"
"Phalacrocorax auritus",NA
"Pluvialis squatarola","Decreasing"
"Pinguinus impennis",NA
"Pluvialis dominica","Decreasing"
"Rallus crepitans","Decreasing"
"Sterna paradisaea","Decreasing"
"Somateria mollissima","Unknown"
"Somateria spectabilis","Decreasing"
"Spatula clypeata","Decreasing"
"Spatula discors","Decreasing"
"Stercorarius pomarinus","Stable"
"Sterna hirundo","Unknown"
"Sternula antillarum","Decreasing"
"Thalasseus sandvicensis","Stable"
"Tringa semipalmata","Stable"
"Tringa melanoleuca","Stable"
"Sturnus vulgaris","Decreasing"
"Morus bassanus","Increasing"
"Hydroprogne caspia","Increasing"
"Podiceps grisegena","Decreasing"
"Pterodroma cahow","Increasing"
"Pterodroma deserta","Stable"
"Puffinus lherminieri","Decreasing"
"Puffinus puffinus","Unknown"
"Rissa tridactyla","Decreasing"
"Thalasseus maximus","Stable"
"Uria aalge","Increasing"
"Uria lomvia","Increasing"
"Cistothorus palustris","Increasing"
"Geothlypis trichas","Stable"
"Egretta tricolor","Stable"
"Aythya valisineria","Decreasing"
"Melospiza melodia","Stable"
"Haliaeetus leucocephalus","Increasing"
"Branta bernicla","Unknown"
"Calidris alpina","Decreasing"
"Calidris fuscicollis","Decreasing"
"Larus hyperboreus","Stable"
"Calidris minutilla","Decreasing"
"Melanitta americana","Decreasing"
"Calidris pusilla","Decreasing"
"Calidris ruficollis","Decreasing"
"Melanitta deglandi","Decreasing"
"Ardea herodias","Increasing"
"Bucephala clangula","Stable"
"Ardea alba","Unknown"
"Actitis macularius","Decreasing"
"Anas acuta","Decreasing"
"Anas rubripes","Decreasing"
"Anser caerulescens","Increasing"
"Arenaria interpres","Decreasing"
"Aythya affinis","Decreasing"
"Aythya americana","Increasing"
"Aythya fuligula","Stable"
"Aythya marila","Decreasing"
"Bucephala albeola","Increasing"
"Butorides striata","Decreasing"
"Calidris alba","Unknown"
"Calidris canutus","Decreasing"
"Calidris maritima","Decreasing"
"Calidris melanotos","Stable"
"Camptorhynchus labradorius",NA
"Cepphus grylle","Unknown"
"Phaethon lepturus","Decreasing"
"Anthus rubescens","Decreasing"
"Calcarius lapponicus","Increasing"
"Onychoprion fuscatus","Unknown"
"Alca torda","Decreasing"
"Alle alle","Decreasing"
"Ardenna gravis","Stable"
"Catharacta skua","Stable"
"Fratercula arctica","Decreasing"
"Fulmarus glacialis","Increasing"
"Ardenna grisea","Decreasing"
"Egretta caerulea","Decreasing"
"Sterna dougallii","Unknown"
"Xema sabini","Stable"
"Eremophila alpestris","Decreasing"
