"","Year","rgn_id","rgn_name","GDP","Sector"
"1",2016,5,"Connecticut",NA,"Construction"
"2",2016,5,"Connecticut",77266000,"Living Resources"
"3",2016,5,"Connecticut",206111000,"Minerals"
"4",2016,5,"Connecticut",1266089000,"Ship & Boat Building"
"5",2016,5,"Connecticut",1727555000,"Tourism & Recreation"
"6",2016,5,"Connecticut",NA,"Transportation"
"7",2016,5,"Connecticut",3943586000,"All Ocean Sectors"
"8",2015,5,"Connecticut",NA,"Construction"
"9",2015,5,"Connecticut",44916000,"Living Resources"
"10",2015,5,"Connecticut",NA,"Minerals"
"11",2015,5,"Connecticut",1511685000,"Ship & Boat Building"
"12",2015,5,"Connecticut",1648233000,"Tourism & Recreation"
"13",2015,5,"Connecticut",614739000,"Transportation"
"14",2015,5,"Connecticut",4023750000,"All Ocean Sectors"
"15",2014,5,"Connecticut",NA,"Construction"
"16",2014,5,"Connecticut",42350000,"Living Resources"
"17",2014,5,"Connecticut",101085000,"Minerals"
"18",2014,5,"Connecticut",1266813000,"Ship & Boat Building"
"19",2014,5,"Connecticut",1545832000,"Tourism & Recreation"
"20",2014,5,"Connecticut",648748000,"Transportation"
"21",2014,5,"Connecticut",3642408000,"All Ocean Sectors"
"22",2013,5,"Connecticut",36296000,"Construction"
"23",2013,5,"Connecticut",44495000,"Living Resources"
"24",2013,5,"Connecticut",81018000,"Minerals"
"25",2013,5,"Connecticut",1336852000,"Ship & Boat Building"
"26",2013,5,"Connecticut",1652019000,"Tourism & Recreation"
"27",2013,5,"Connecticut",702036000,"Transportation"
"28",2013,5,"Connecticut",3852717000,"All Ocean Sectors"
"29",2012,5,"Connecticut",40270000,"Construction"
"30",2012,5,"Connecticut",45155000,"Living Resources"
"31",2012,5,"Connecticut",81604000,"Minerals"
"32",2012,5,"Connecticut",1452430000,"Ship & Boat Building"
"33",2012,5,"Connecticut",1638160000,"Tourism & Recreation"
"34",2012,5,"Connecticut",735490000,"Transportation"
"35",2012,5,"Connecticut",3993109000,"All Ocean Sectors"
"36",2011,5,"Connecticut",31638000,"Construction"
"37",2011,5,"Connecticut",40613000,"Living Resources"
"38",2011,5,"Connecticut",64597000,"Minerals"
"39",2011,5,"Connecticut",1358231000,"Ship & Boat Building"
"40",2011,5,"Connecticut",1549441000,"Tourism & Recreation"
"41",2011,5,"Connecticut",724365000,"Transportation"
"42",2011,5,"Connecticut",3768886000,"All Ocean Sectors"
"43",2010,5,"Connecticut",31235000,"Construction"
"44",2010,5,"Connecticut",46112000,"Living Resources"
"45",2010,5,"Connecticut",79401000,"Minerals"
"46",2010,5,"Connecticut",1586663000,"Ship & Boat Building"
"47",2010,5,"Connecticut",1465471000,"Tourism & Recreation"
"48",2010,5,"Connecticut",694948000,"Transportation"
"49",2010,5,"Connecticut",3903830000,"All Ocean Sectors"
"50",2009,5,"Connecticut",23246000,"Construction"
"51",2009,5,"Connecticut",49566000,"Living Resources"
"52",2009,5,"Connecticut",65616000,"Minerals"
"53",2009,5,"Connecticut",1282529000,"Ship & Boat Building"
"54",2009,5,"Connecticut",1387265000,"Tourism & Recreation"
"55",2009,5,"Connecticut",914290000,"Transportation"
"56",2009,5,"Connecticut",3722512000,"All Ocean Sectors"
"57",2008,5,"Connecticut",NA,"Construction"
"58",2008,5,"Connecticut",38500000,"Living Resources"
"59",2008,5,"Connecticut",77108000,"Minerals"
"60",2008,5,"Connecticut",1150737000,"Ship & Boat Building"
"61",2008,5,"Connecticut",NA,"Tourism & Recreation"
"62",2008,5,"Connecticut",857065000,"Transportation"
"63",2008,5,"Connecticut",3554329000,"All Ocean Sectors"
"64",2007,5,"Connecticut",NA,"Construction"
"65",2007,5,"Connecticut",40128000,"Living Resources"
"66",2007,5,"Connecticut",NA,"Minerals"
"67",2007,5,"Connecticut",1169407000,"Ship & Boat Building"
"68",2007,5,"Connecticut",1365065000,"Tourism & Recreation"
"69",2007,5,"Connecticut",973707000,"Transportation"
"70",2007,5,"Connecticut",3691361000,"All Ocean Sectors"
"71",2006,5,"Connecticut",NA,"Construction"
"72",2006,5,"Connecticut",38552000,"Living Resources"
"73",2006,5,"Connecticut",NA,"Minerals"
"74",2006,5,"Connecticut",1155739000,"Ship & Boat Building"
"75",2006,5,"Connecticut",1376832000,"Tourism & Recreation"
"76",2006,5,"Connecticut",524728000,"Transportation"
"77",2006,5,"Connecticut",3232611000,"All Ocean Sectors"
"78",2005,5,"Connecticut",NA,"Construction"
"79",2005,5,"Connecticut",43949000,"Living Resources"
"80",2005,5,"Connecticut",NA,"Minerals"
"81",2005,5,"Connecticut",1141352000,"Ship & Boat Building"
"82",2005,5,"Connecticut",1380314000,"Tourism & Recreation"
"83",2005,5,"Connecticut",491879000,"Transportation"
"84",2005,5,"Connecticut",3207644000,"All Ocean Sectors"
"85",2016,6,"Maine",20257000,"Construction"
"86",2016,6,"Maine",348482000,"Living Resources"
"87",2016,6,"Maine",6160000,"Minerals"
"88",2016,6,"Maine",621606000,"Ship & Boat Building"
"89",2016,6,"Maine",1300969000,"Tourism & Recreation"
"90",2016,6,"Maine",204956000,"Transportation"
"91",2016,6,"Maine",2502429000,"All Ocean Sectors"
"92",2015,6,"Maine",17642000,"Construction"
"93",2015,6,"Maine",203813000,"Living Resources"
"94",2015,6,"Maine",7522000,"Minerals"
"95",2015,6,"Maine",653245000,"Ship & Boat Building"
"96",2015,6,"Maine",1255177000,"Tourism & Recreation"
"97",2015,6,"Maine",205204000,"Transportation"
"98",2015,6,"Maine",2342603000,"All Ocean Sectors"
"99",2014,6,"Maine",26075000,"Construction"
"100",2014,6,"Maine",185235000,"Living Resources"
"101",2014,6,"Maine",5303000,"Minerals"
"102",2014,6,"Maine",609737000,"Ship & Boat Building"
"103",2014,6,"Maine",1223416000,"Tourism & Recreation"
"104",2014,6,"Maine",215782000,"Transportation"
"105",2014,6,"Maine",2265548000,"All Ocean Sectors"
"106",2013,6,"Maine",17475000,"Construction"
"107",2013,6,"Maine",174356000,"Living Resources"
"108",2013,6,"Maine",7334000,"Minerals"
"109",2013,6,"Maine",593475000,"Ship & Boat Building"
"110",2013,6,"Maine",1179052000,"Tourism & Recreation"
"111",2013,6,"Maine",208072000,"Transportation"
"112",2013,6,"Maine",2179764000,"All Ocean Sectors"
"113",2012,6,"Maine",19825000,"Construction"
"114",2012,6,"Maine",193975000,"Living Resources"
"115",2012,6,"Maine",6195000,"Minerals"
"116",2012,6,"Maine",624176000,"Ship & Boat Building"
"117",2012,6,"Maine",1134946000,"Tourism & Recreation"
"118",2012,6,"Maine",196935000,"Transportation"
"119",2012,6,"Maine",2176052000,"All Ocean Sectors"
"120",2011,6,"Maine",20364000,"Construction"
"121",2011,6,"Maine",197249000,"Living Resources"
"122",2011,6,"Maine",3180000,"Minerals"
"123",2011,6,"Maine",672277000,"Ship & Boat Building"
"124",2011,6,"Maine",1067917000,"Tourism & Recreation"
"125",2011,6,"Maine",189091000,"Transportation"
"126",2011,6,"Maine",2150078000,"All Ocean Sectors"
"127",2010,6,"Maine",21801000,"Construction"
"128",2010,6,"Maine",189370000,"Living Resources"
"129",2010,6,"Maine",3564000,"Minerals"
"130",2010,6,"Maine",712140000,"Ship & Boat Building"
"131",2010,6,"Maine",1004222000,"Tourism & Recreation"
"132",2010,6,"Maine",193875000,"Transportation"
"133",2010,6,"Maine",2124973000,"All Ocean Sectors"
"134",2009,6,"Maine",19299000,"Construction"
"135",2009,6,"Maine",167528000,"Living Resources"
"136",2009,6,"Maine",5810000,"Minerals"
"137",2009,6,"Maine",655426000,"Ship & Boat Building"
"138",2009,6,"Maine",931803000,"Tourism & Recreation"
"139",2009,6,"Maine",191263000,"Transportation"
"140",2009,6,"Maine",1971129000,"All Ocean Sectors"
"141",2008,6,"Maine",17042000,"Construction"
"142",2008,6,"Maine",159241000,"Living Resources"
"143",2008,6,"Maine",10369000,"Minerals"
"144",2008,6,"Maine",706594000,"Ship & Boat Building"
"145",2008,6,"Maine",984689000,"Tourism & Recreation"
"146",2008,6,"Maine",202111000,"Transportation"
"147",2008,6,"Maine",2080046000,"All Ocean Sectors"
"148",2007,6,"Maine",18343000,"Construction"
"149",2007,6,"Maine",181671000,"Living Resources"
"150",2007,6,"Maine",7448000,"Minerals"
"151",2007,6,"Maine",768798000,"Ship & Boat Building"
"152",2007,6,"Maine",1064716000,"Tourism & Recreation"
"153",2007,6,"Maine",168125000,"Transportation"
"154",2007,6,"Maine",2209101000,"All Ocean Sectors"
"155",2006,6,"Maine",18750000,"Construction"
"156",2006,6,"Maine",206641000,"Living Resources"
"157",2006,6,"Maine",6980000,"Minerals"
