"","year","enforcement_score_OLE","compliance_score","enforcement_score_obser","enforcement_score"
"1",2005,NA,NA,0.818273891340519,0.818273891340519
"2",2006,NA,NA,0.818273891340519,0.818273891340519
"3",2007,NA,NA,0.818273891340519,0.818273891340519
"4",2008,NA,NA,0.818273891340519,0.818273891340519
"5",2009,NA,NA,0.818273891340519,0.818273891340519
"6",2010,NA,NA,0.818273891340519,0.818273891340519
"7",2011,NA,NA,0.818273891340519,0.818273891340519
"8",2012,NA,NA,0.818273891340519,0.818273891340519
"9",2013,NA,NA,0.818273891340519,0.818273891340519
"10",2014,NA,NA,0.793479578232941,0.793479578232941
"11",2015,0.878532261084335,0.513708513708514,0.848878565725484,0.86370541340491
"12",2016,0.926483376814503,0.766620498614959,0.751360103626943,0.838921740220723
"13",2017,0.897701346589578,0.503567181926278,0.930489619499752,0.914095483044665
