rgn_id,rgn_name,year,total_loss,original_area
9,New Hampshire,1996,18,2777.777777777778
9,New Hampshire,2001,18.34719203105813,2777.777777777778
9,New Hampshire,2006,18.150104111845874,2777.777777777778
9,New Hampshire,2010,18.44329527339847,2777.777777777778
10,New York,1996,48,2150
10,New York,2001,48.00016288050922,2150
10,New York,2006,50.49114104544622,2150
10,New York,2010,50.35057516598106,2150
6,Maine,1996,0.5,113800
6,Maine,2001,0.11343254740238073,113800
6,Maine,2006,-0.2958384856885159,113800
6,Maine,2010,-2.3644639571994146,113800
11,Rhode Island,1996,53,3454.7169811320755
11,Rhode Island,2001,52.976205835386686,3454.7169811320755
11,Rhode Island,2006,52.976205835386686,3454.7169811320755
11,Rhode Island,2010,53.166691342096634,3454.7169811320755
5,Connecticut,1996,27,7885.185185185184
5,Connecticut,2001,27.069172463513954,7885.185185185184
5,Connecticut,2006,27.19436487987373,7885.185185185184
5,Connecticut,2010,27.444993277605654,7885.185185185184
8,Massachusetts-South,1996,41,32565.853658536584
8,Massachusetts-South,2001,40.87520218377326,32565.853658536584
8,Massachusetts-South,2006,40.92603875644568,32565.853658536584
8,Massachusetts-South,2010,40.785594084105945,32565.853658536584
7,Massachusetts-North,1996,41,32565.853658536584
7,Massachusetts-North,2001,40.99075663379864,32565.853658536584
7,Massachusetts-North,2006,40.92859346573588,32565.853658536584
7,Massachusetts-North,2010,41.18511218140994,32565.853658536584
12,Northeast,1996,16.785401050548312,195199.38726116822
12,Northeast,2001,16.544987726440795,195199.38726116822
12,Northeast,2006,16.33418480132974,195199.38726116822
12,Northeast,2010,15.163673953631049,195199.38726116822
